pr_id,incident_id,supe,release_date,tone,vought_exec,bias_score
PR280,INC191,A-Train,2021-03-26,Patriotic Spin,The Deep,3.9
PR281,INC175,Starlight,2021-07-03,Patriotic Spin,Ashley Barrett,6.7
PR282,INC166,Homelander,2022-11-09,Defensive,Ashley Barrett,6.6
PR283,INC170,Kimiko,2022-06-24,Omission,Stan Edgar,6.7
PR284,INC116,A-Train,2022-11-27,Blame Redirection,The Deep,9.5
PR285,INC112,A-Train,2021-09-28,Defensive,The Deep,6.9
PR286,INC115,Starlight,2021-05-15,Defensive,Ashley Barrett,6.5
PR287,INC142,A-Train,2022-12-18,Corporate Jargon,The Deep,8.2
PR288,INC148,Homelander,2023-03-21,Corporate Jargon,Stan Edgar,3.7
PR289,INC116,The Deep,2022-01-31,Patriotic Spin,Ashley Barrett,9.9
PR290,INC163,A-Train,2022-02-14,Defensive,Stan Edgar,8.3
PR291,INC132,A-Train,2021-03-20,Inspirational,PRBot 2.1,7.2
PR292,INC101,Starlight,2021-03-03,Omission,PRBot 2.1,5.7
PR293,INC177,The Deep,2022-02-21,Omission,The Deep,2.4
PR294,INC138,Starlight,2021-08-19,Blame Redirection,Sage Grove Analyst,3.6
PR295,INC180,A-Train,2022-08-03,Patriotic Spin,PRBot 2.1,4.7
PR296,INC128,Starlight,2021-05-27,Blame Redirection,Sage Grove Analyst,5.7
PR297,INC176,Queen Maeve,2021-03-14,Corporate Jargon,PRBot 2.1,2.0
PR298,INC171,The Deep,2021-03-21,Patriotic Spin,Ashley Barrett,5.6
PR299,INC133,Homelander,2023-03-01,Patriotic Spin,Stan Edgar,6.7
PR300,INC174,The Deep,2023-08-01,Omission,Stan Edgar,6.5
